Movie,LeadStudio,RottenTomatoes,AudienceScore,Genre,DomesticGross,ForeignGross,Budget,Year
Diary of a Wimpy Kid,Independent,53,49,Comedy,64,11.7,15,2010
Dinner for Schmucks,Paramount,43,47,Comedy,73.03,13.83,69,2010
Due Date,Warner Bros,40,56,Comedy,100.54,111.24,50,2010
Easy A,Sony,85,75,Comedy,58.4,16.55,8,2010
Eat Pray Love,Sony,36,46,Drama,80.57,124.02,60,2010
Edge of Darkness,Warner Bros,55,56,Crime,43.31,37.81,80,2010
Extraordinary Measures,CBS,27,55,Drama,12.07,3.07,31,2010
Faster,CBS,41,50,Action,23.24,12.39,24,2010
For Colored Girls,Independent,33,73,Drama,37.73,17.32,21,2010
From Paris with Love,Independent,38,57,Action,24.08,28.75,52,2010
Furry Vengeance,Summit,8,36,Comedy,17.63,18.61,35,2010
Get Him to the Greek,Universal,73,63,Comedy,60.97,30.29,40,2010
Going the Distance,Warner Bros,53,56,Comedy,17.8,24.25,32,2010
Green Zone,Universal,53,60,Action,35.05,59.83,100,2010
Greenberg,Independent,75,40,Comedy,4.23,1.92,,2010
Grown Ups,Independent,10,59,Comedy,162,109.43,80,2010
Gulliver's Travels,Fox,21,31,Comedy,42.78,194.6,112,2010
Harry Potter and the Deathly Hallows Part 1,Warner Bros,79,87,Adventure,295,664.3,125,2010
Hot Tub Time Machine,MGM,64,57,Adventure,50.29,14.28,36,2010
How to Train Your Dragon,Paramount,98,90,Animation,217.58,277.3,165,2010
I Love You Phillip Morris,Independent,71,57,Comedy,2.04,18.69,15,2010
Inception,Warner Bros,86,93,Action,292.58,532.96,160,2010
Iron Man 2,Paramount,74,80,Action,312.43,311.5,200,2010
Jackass 3-D,Paramount,63,72,Documentary,117.23,54.46,20,2010
Jonah Hex,Warner Bros,13,24,Action,10.55,0.36,47,2010
Just Wright,Fox,45,58,Comedy,21.54,0.03,12,2010
Kick-Ass,Independent,76,83,Action,48.07,48.12,30,2010
Killers,Lionsgate,11,45,Action,47.06,51.1,75,2010
Knight and Day,Fox,53,52,Action,76.42,185.51,117,2010
Leap Year,Universal,21,49,Comedy,25.92,6.69,19,2010
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros,51,65,Animation,55.68,84.4,80,2010
Legion,Independent,19,36,Action,40.17,27.75,26,2010
Letters to Juliet,Summit,40,62,Comedy,53.03,26.15,30,2010
Life as We Know It,Independent,28,62,Comedy,53.13,43.03,52,2010
Little Fockers,Independent,9,40,Comedy,148.44,162.21,100,2010
Love & Other Drugs,Fox,48,55,Comedy,32.37,70.44,30,2010
MacGruber,Independent,47,33,Action,8.53,0.8,10,2010
Machete,Independent,73,66,Action,26.59,17.5,20,2010
Marmaduke,Fox,9,46,Comedy,33.64,50.12,50,2010
Megamind,Paramount,72,73,Animation,148.42,173.47,130,2010
Morning Glory,Independent,54,54,Comedy,31.01,29.03,40,2010
My Soul to Take,Relativity Media,9,29,Horror,14.74,6.23,25,2010
Nanny McPhee Returns,Universal,77,54,Comedy,29.01,64.23,35,2010
Never Let Me Go,Independent,70,70,Drama,2.43,7.02,15,2010
Our Family Wedding,Independent,14,49,Comedy,20.26,1.15,,2010
Paranormal Activity 2,Paramount,,,Horror,84.75,92.76,3,2010
Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Action,88.77,137.73,95,2010
Piranha 3-D,Weinstein,74,45,Comedy,25,58.19,24,2010
Please Give,Sony,88,62,Comedy,4.03,0.28,3,2010
Predators,Fox,64,52,Action,52,75.23,40,2010
Prince of Persia: The Sands of Time,Disney,36,71,Action,90.76,245.61,200,2010
Red,Summit,71,72,Action,90.38,108.63,58,2010
Remember Me,Summit,28,70,Drama,19.07,36.96,16,2010
Repo Men,Universal,22,43,Action,13.79,4.62,32,2010
Resident Evil: Afterlife,Highlight Communications,24,53,Action,60.13,236.09,60,2010
Robin Hood,Universal,42,59,Action,105.27,216.4,200,2010
Salt,Sony,62,62,Action,118.31,175.19,110,2010
Saw 3-D,Independent,10,47,Crime,45.71,90.44,20,2010
Scott Pilgrim vs. the World,Universal,81,83,Action,31.52,16.14,60,2010
Sex and the City 2,Warner Bros,15,49,Comedy,95.35,193,100,2010
She's Out of My League,Paramount,57,60,Comedy,32.01,17.77,20,2010
Shrek Forever After,Paramount,57,64,Animation,238.74,513.86,165,2010
Shutter Island,Paramount,68,73,Drama,128.01,166.79,80,2010
Skyline,Independent,16,19,Action,21.39,45.43,10,2010
Solitary Man,Independent,81,47,Comedy,4.36,0.82,15,2010
Step Up 3D,Summit,46,67,Drama,42.4,116.89,30,2010
Stone,Independent,49,20,Drama,1.81,7.67,22,2010
Takers,Sony,27,57,Action,57.74,11.31,32,2010
Tangled,Disney,89,88,Animation,200.82,390.97,260,2010
The A-Team,Fox,47,71,Action,77.22,100.02,100,2010
The American,Universal,66,37,Crime,35.61,32.27,20,2010
The Back-up Plan,CBS,20,47,Comedy,37.49,39.99,35,2010
The Book of Eli,Independent,48,68,Action,94.84,62.27,80,2010
The Bounty Hunter,Sony,7,41,Action,67.06,69.27,40,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Adventure,104.39,311.3,155,2010
The Crazies,Liberty Starz,72,54,Horror,39.12,15.68,20,2010
The Expendables,Independent,40,58,Action,103.07,171.4,82,2010
The Fighter,Paramount,91,88,Drama,93.62,35.54,25,2010
The Ghost Writer,Summit,83,68,Mystery,15.54,44.68,45,2010
The Joneses,Independent,61,47,Comedy,1.48,0.49,10,2010
The Karate Kid,Sony,66,75,Action,176.59,182.53,40,2010
The Kids Are All Right,Independent,94,72,Comedy,20.81,13.89,4,2010
The King's Speech,Independent,95,93,Biography,138.79,275.41,15,2010
The Last Airbender,Paramount,6,42,Action,131.77,187.94,150,2010
The Last Exorcism,Independent,73,32,Drama,41.03,26.7,1.8,2010
The Last Song,Disney,19,66,Drama,62.95,26.09,20,2010
The Losers,Warner Bros,47,55,Action,23.59,5.79,25,2010
The Next Three Days,Lionsgate,51,66,Crime,21.15,46.3,30,2010
The Other Guys,Sony,78,57,Action,119.22,51.21,100,2010
The Runaways,Independent,68,56,Biography,3.57,1.11,10,2010
The Social Network,Sony,96,89,Biography,96.96,127.96,50,2010
The Sorcerer's Apprentice,Disney,42,57,Action,63.15,152.13,150,2010
The Spy Next Door,Relativity Media,13,46,Action,24.31,20.93,,2010
The Switch,Independent,52,44,Comedy,27.78,22.05,19,2010
The Tourist,Sony,20,44,Thriller,67.63,210.72,100,2010
The Town,Warner Bros,94,83,Crime,92.19,61.84,37,2010
The Twilight Saga: Eclipse,Summit,50,74,Drama,300.53,397.96,68,2010
The Wolfman,Universal,33,38,Drama,61.98,77.81,150,2010
Tooth Fairy,Fox,16,46,Comedy,60.02,52.44,48,2010
Toy Story 3,Disney,99,91,Animation,415,648.16,200,2010
Tron: Legacy,Independent,50,67,Action,172.06,228,170,2010
True Grit,Paramount,96,86,Adventure,171.24,81.03,38,2010
Unstoppable,Fox,86,73,Action,81.56,86.24,95,2010
Valentine's Day,Warner Bros,17,54,Comedy,110.49,106,52,2010
Vampires Suck,Independent,4,32,Comedy,36.66,43.89,20,2010
Wall Street: Money Never Sleeps,Independent,54,43,Drama,52.47,82.27,70,2010
When in Rome,Disney,15,44,Comedy,32.68,10.36,,2010
Why Did I Get Married Too?,Lionsgate,27,67,Comedy,60.09,0.58,20,2010
Yogi Bear,,14,36,Comedy,100.25,101.34,80,2010
You Again,Independent,18,45,Comedy,25.7,6.3,20,2010
You Will Meet a Tall Dark Stranger,Independent,43,35,Comedy,3.24,31.03,22,2010
Youth in Revolt,Weinstein,68,52,Comedy,15.28,4.37,18,2010
30 Minutes or Less,Independent,43,48,Comedy,37.05,3.49,28,2011
50/50,Independent,93,93,Comedy,35.01,4.17,8,2011
A Dangerous Method,Independent,79,89,Drama,5.7,21.76,20,2011
A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,35.06,0.33,19,2011
Abduction,Vertigo,4,46,Action,28.09,54,35,2011
Anonymous,Relativity Media,46,66,Drama,4.46,10.93,30,2011
Another Earth,Independent,63,74,Fantasy,1.32,0.45,0.2,2011
Apollo 18,Weinstein,23,31,Horror,17.69,7.88,5,2011
Arthur,Warner Bros,26,49,Comedy,33.04,12.7,40,2011
Arthur Christmas,Aardman Animations,92,82,Animation,46.46,100.95,150,2011
Average,,55,62,,69,110,57,2011
Bad Teacher,Independent,44,38,Comedy,100.29,115.9,20,2011
Battle: Los Angeles,Relativity Media,35,50,Action,83.55,128.27,70,2011
Beastly,CBS,19,50,Romance,27.87,15.3,17,2011
Beginners,Independent,84,80,Comedy,5.79,8.52,3.2,2011
Bridesmaids,Relativity Media,90,77,Comedy,169.11,119.28,32.5,2011
Captain America: The First Avenger,Disney,78,75,Action,176.65,193.92,140,2011
Cars 2,Pixar,38,56,Animation,191.45,368.4,200,2011
Cedar Rapids,Fox,86,61,Comedy,6.86,,10,2011
Colombiana,Sony,28,55,Action,36.67,24.3,40,2011
Conan the Barbarian,Lionsgate,22,34,Action,21.3,27.5,90,2011
Contagion,Warner Bros,84,63,Thriller,75.66,59.8,60,2011
Cowboys and Aliens,Universal,44,50,Action,100.24,74.58,163,2011
"Crazy, Stupid, Love",Warner Bros,78,81,Romance,84.35,58.5,50,2011
Diary of a Wimpy Kid 2: Rodrick Rules,Fox,47,63,Comedy,52.7,19.72,21,2011
Dolphin Tale,Independent,84,81,Drama,72.29,23.12,37,2011
Don't Be Afraid Of The Dark,Miramax,59,37,Horror,24.05,12.95,25,2011
Dream House,Morgan Creek,7,38,Horror,21.3,17.2,50,2011
Drive,Independent,93,79,Thriller,35.06,41.11,15,2011
Drive Angry,Independent,45,38,Action,10.72,18.21,45,2011
Dylan Dog: Dead of Night,Independent,6,28,Horror,1.19,3.45,20,2011
Everything Must Go,Reliance,74,53,Drama,2.71,,5,2011
Extremely Loud and Incredibly Close,Warner Bros,47,62,Drama,31.847,23.4,40,2011
Fast Five,Universal,78,83,Action,209.4,416.3,125,2011
Final Destination 5,New Line,61,56,Horror,42.59,115.3,40,2011
Footloose,Spyglass Entertainment,71,71,Drama,51.8,11.74,24,2011
Friends With Benefits,Warner Bros,71,68,Romance,55.8,93.74,35,2011
Fright Night,DreamWorks,75,68,Horror,18.3,22.7,30,2011
Gnomeo and Juliet,Disney,56,52,Animation,99.97,94,36,2011
Green Lantern,Warner Bros,27,48,Action,116.6,103.25,200,2011
Hall Pass,Warner Bros,35,44,Comedy,45.06,38.1,36,2011
Hanna,Universal,71,67,Action,40.26,23.52,30,2011
Happy Feet 2,Village Roadshow,41,59,Animation,64.01,86.4,135,2011
Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Fantasy,381.01,960.5,125,2011
Hop,Relativity Media,26,50,Animation,108.09,75.87,63,2011
Horrible Bosses,Warner Bros,69,72,Comedy,117.54,92.1,35,2011
Hugo,Paramount,93,84,Adventure,73.864,111.905,150,2011
I Am Number Four,Paramount,32,57,Thriller,55.1,94.78,60,2011
Immortals,Relativity Media,36,59,Action,83.5,143.4,75,2011
In Time,Regency Enterprises,38,55,Thriller,37.52,136.41,40,2011
Insidious,Sony,67,65,Horror,54.01,43,1.5,2011
J.Edgar,Warner Bros,42,84,Drama,37.31,47.3,35,2011
Jack and Jill,Happy Madison,4,59,Comedy,74.16,75.52,79,2011
Johnny English Reborn,Relativity Media,38,55,Comedy,8.31,151.77,45,2011
Just Go With It,Happy Madison,19,63,Romance,103.03,111.92,80,2011
Killer Elite,Independent,25,48,Action,25.12,31.26,70,2011
Kung Fu Panda 2,DreamWorks,82,80,Animation,165.25,500.44,150,2011
Larry Crowne,Universal,34,46,Drama,35.61,36.4,30,2011
Limitless,Virgin,69,73,Thriller,79.25,82.6,27,2011
Machine Gun Preacher,Lionsgate,29,71,Action,0.54,0.57,30,2011
Margin Call,Independent,86,73,Thriller,5.35,14.15,3.5,2011
Mars Needs Moms,Disney,36,43,Animation,21.39,17.6,150,2011
Midnight in Paris,Sony,93,84,Romance,56.82,94.3,17,2011
Mission Impossible 4,Paramount,93,86,Action,209.39,485.32,145,2011
Moneyball,Columbia,95,89,Drama,75.6,34.6,50,2011
Monte Carlo,Fox,38,50,Romance,23.19,16.48,20,2011
Mr. Popper's Penguins,Fox,47,54,Comedy,68.22,119.14,55,2011
My Week with Marilyn,Weinstein,83,84,Drama,14.6,20.46,10,2011
New Year's Eve,Warner Bros,8,48,Romance,54.54,87.5,56,2011
No Strings Attached,Spyglass Entertainment,49,57,Comedy,70.66,78.57,25,2011
One Day,Independent,37,54,Romance,13.84,45.55,15,2011
Our Idiot Brother,Weinstein,68,79,Comedy,24.82,,5,2011
Paranormal Activity 3,Independent,68,58,Horror,104.03,103.01,5,2011
Paul,Relativity Media,72,70,Comedy,37.41,60.57,40,2011
Pirates of the Caribbean:On Stranger Tides,Disney,34,61,Action,241.07,804.64,250,2011
Priest,Sony,17,37,Action,29.14,49.17,60,2011
Puss In Boots,DreamWorks,83,76,Animation,149.26,405.73,130,2011
Rango,Paramount,88,69,Animation,123.48,122.25,135,2011
Real Steel,DreamWorks,58,81,Action,85.47,213.8,110,2011
Red Riding Hood,Warner Bros,11,41,Horror,37.66,51.5,42,2011
Red State,Independent,57,59,Horror,1.1,,4,2011
Rio,Fox,71,73,Animation,143.62,341.02,90,2011
Rise of the Planet of the Apes,Fox,83,87,Action,176.7,305.04,93,2011
Sanctum,Relativity Media,30,39,Action,23.21,85.4,30,2011
Scream 4,Weinstein,58,57,Horror,38.18,58.96,40,2011
Season Of The Witch,Relativity Media,10,32,Action,24.83,66.8,40,2011
Shame,Independent,80,80,Drama,3.09,13.784,6.5,2011
Shark Night 3D,Relativity Media,16,25,Horror,18.88,21.26,25,2011
Sherlock Holmes 2,Warner Bros,60,79,Action,186.85,358.6,125,2011
Something Borrowed,Independent,,,Romance,39.05,21.14,35,2011
Soul Surfer,Sony,46,79,Drama,43.85,3.24,18,2011
Source Code,Summit,92,81,Thriller,54.71,92.62,32,2011
Spy Kids: All The Time in the World,Weinstein,22,40,Action,38.54,47.03,27,2011
Sucker Punch,Legendary Pictures,23,48,Action,36.39,53.4,82,2011
Super 8,Paramount,82,78,Horror,127,133.09,50,2011
Take Me Home Tonight,Relativity Media,28,46,Comedy,6.93,,25,2011
Take Shelter,Independent,92,85,Drama,1.73,1.4,5,2011
The Adjustment Bureau,Independent,72,67,Thriller,62.5,65.37,50.2,2011
The Adventures of Tintin,Paramount,74,78,Adventure,77.591,296.402,130,2011
The Artist,Weinstein,97,91,Drama,44.671,88.761,16,2011
The Beaver,Summit,62,57,Drama,0.97,5.4,21,2011
The Big Year,Independent,38,62,Comedy,7.2,0.24,41,2011
The Change Up,Relativity Media,24,53,Comedy,37.08,38.37,52,2011
The Company Men,Weinstein,66,55,Drama,4.44,0.44,15,2011
The Conspirator,Independent,56,65,Drama,11.54,3.94,25,2011
The Debt,Universal,76,70,Thriller,31.18,14.46,20,2011
The Descendants,Fox,89,88,Drama,82.58,94.66,20,2011
The Dilemma,Spyglass Entertainment,23,31,Comedy,48.48,21.25,70,2011
The Eagle,Universal,39,43,Action,19.49,7.63,25,2011
The Girl With The Dragon Tattoo,Sony,87,89,Thriller,102.06,130.101,90,2011
The Green Hornet,Columbia,44,47,Action,98.78,129.04,120,2011
The Hangover Part II,Legendary Pictures,35,58,Comedy,254.46,332.3,80,2011
The Help,DreamWorks,75,91,Drama,169.71,46.93,25,2011
The Ides of March,Columbia,85,76,Thriller,40.96,35.03,12.5,2011
The Iron Lady,Weinstein,53,54,Drama,30.017,84.938,13,2011
The Lincoln Lawyer,Lionsgate,84,82,Drama,58.01,17,40,2011
The Mechanic,Independent,53,52,Action,29.12,21.95,40,2011
The Muppets,Disney,97,87,Comedy,88.63,76.55,45,2011
The Rite,Warner Bros,20,43,Horror,33.05,63,37,2011
The Roommate,Independent,4,29,Horror,37.3,3.19,16,2011
The Rum Diary,Independent,50,48,Drama,13.11,10.84,45,2011
The Sitter,Fox,22,43,Comedy,30.441,4.5,25,2011
The Smurfs,Sony,23,50,Animation,142.61,421.14,110,2011
The Thing,Universal,36,52,Horror,16.93,10.5,38,2011
The Three Musketeers,Independent,24,48,Action,20.37,111.9,75,2011
The Tree Of Life,Independent,84,61,Drama,13.3,41,32,2011
Thor,Disney,77,80,Action,181.03,268.29,150,2011
Tinker Tailor Soldier Spy,Focus,83,68,Thriller,24.149,56.481,21,2011
Tower Heist,Relativity Media,68,61,Comedy,78.04,74.88,75,2011
Transformers: Dark of the Moon,DreamWorks,35,67,Action,352.39,771.4,195,2011
Twilight: Breaking Dawn,Independent,26,68,Romance,281.29,430.88,110,2011
Unknown,Independent,55,57,Thriller,63.69,67.1,30,2011
War Horse,Disney,77,73,Drama,79.884,97.7,66,2011
Warrior,Lionsgate,83,93,Action,13.66,9.4,25,2011
Water For Elephants,Fox,60,72,Drama,58.71,58.39,38,2011
We Bought a Zoo,Fox,63,79,Comedy,75.624,44.457,50,2011
What's Your Number,Fox,24,50,Comedy,14.01,16.42,20,2011
Winnie The Pooh,Disney,91,79,Animation,26.69,6.46,30,2011
X-Men: First Class,Disney,87,88,Action,146.41,207.22,160,2011
Your Highness,Universal,26,36,Comedy,21.6,3.26,49.9,2011
Zookeeper,Happy Madison,14,42,Comedy,80.36,89.49,80,2011
21 Jump Street,Sony,85,82,,138.45,63.14,42,2012
A Late Quartet,Entertainment One,,,Drama,1.56,,,2012
A Royal Affair,Magnolia,,,,1.55,,,2012
Abraham Lincoln: Vampire Hunter,Fox,35,51,,37.52,78.95,69,2012
Agneepath,Eros,,,,1.99,,,2012
Albert Nobbs,Roadside Attractions,,,Drama,3.01,,,2012
American Reunion,Universal,44,63,,57.01,177.98,50,2012
Amour,Sony,,,Drama,6.74,,,2012
Anna Karenina,Focus,63,51,,12.82,56.11,31,2012
Arbitrage,Roadside Attractions,87,63,,7.92,27.57,12,2012
Argo,Warner Bros,96,90,,136.03,96.3,45,2012
Atlas Shrugged: Part II,Atlas Distribution,,,Drama,3.34,,,2012
Barfi!,UTV,,,Comedy,2.8,,,2012
Battleship,Universal,34,55,,65.42,237.6,209,2012
Beasts of the Southern Wild,Fox Searchlight,86,76,,12.8,,2,2012
Big Miracle,Universal,74,64,,20.16,4.56,40,2012
Brave,Buena Vista,78,76,,237.28,301.7,185,2012
Bully (PG-13),Weinstein,,,,3.86,,,2012
Casa De Mi Padre,Lionsgate,,,,5.91,,,2012
Celeste and Jesse Forever,Sony,,,,3.09,,,2012
Chasing Mavericks,Fox,,,,6,,,2012
Chernobyl Diaries,Warner Bros,19,29,,18.12,19.04,1,2012
Chronicle (2012),Fox,85,71,,64.58,62.06,12,2012
Cloud Atlas,Warner Bros,66,67,,27.11,103.37,102,2012
Contraband,Universal,51,58,,66.53,29.73,25,2012
Crooked Arrows,Fox,,,Drama,1.83,,,2012
Dabangg 2,Eros,,,,2.52,,,2012
Dark Shadows,Warner Bros,38,46,,79.73,165.8,150,2012
Diary of a Wimpy Kid: Dog Days,Fox,51,64,,49.01,28.1,22,2012
Django Unchained,Weinstein,88,92,,162.81,262.56,100,2012
Dr. Seuss' The Lorax,Universal,54,64,,214.03,134.81,70,2012
Dredd,Lionsgate,78,72,,13.41,22.21,50,2012
Ek Tha Tiger,Yash Raj,,,Action,2.35,,,2012
End of Watch,Open Road,85,86,,41,7.12,7,2012
English Vinglish,Eros,,,,1.86,,,2012
Farewell My Queen,Cohen Media,,,Drama,1.6,,,2012
Flight,Paramount,78,75,,93.77,68,31,2012
Footnote,Sony,,,,2.01,,,2012
For Greater Glory,ARC Entertainment,,,Drama,5.67,,,2012
Frankenweenie,Buena Vista,87,70,Animation,35.29,46.2,39,2012
Friends with Kids,Roadside Attractions,,,,7.25,,,2012
Ghost Rider: Spirit of Vengeance,Sony,17,32,,51.77,80.79,57,2012
Girl in Progress,Lionsgate,,,,2.61,,,2012
Goon,Magnolia,,,,4.17,,,2012
Haywire,Relativity Media,80,40,Action,18.94,14.43,23,2012
Hitchcock,Fox Searchlight,,,,6.01,,,2012
Hope Springs,Sony,74,56,,63.54,50.75,30,2012
Hotel Transylvania,Sony,45,72,,148.31,210.06,85,2012
House at the End of The Street,Relativity Media,10,42,,31.61,7.85,10,2012
Housefull 2,Eros,,,,1.79,,,2012
Hyde Park on Hudson,Focus,,,,6.38,,,2012
Hysteria,Sony,,,,1.8,,,2012
Ice Age: Continental Drift,Fox,37,63,,161.32,715.92,95,2012
Jab Tak Hai Jaan,Yash Raj,,,,3.05,,,2012
Jack Reacher,Paramount,61,67,,80.07,138.27,60,2012
"Jeff, Who Lives at Home",Paramount,,,Comedy,4.27,,,2012
Jiro Dreams of Sushi,Magnolia,,,,2.55,,,2012
John Carter,Buena Vista,51,60,,73.08,211.06,250,2012
Journey 2: The Mysterious Island,Warner Bros,52,60,,103.86,231.4,79,2012
Katy Perry: Part of Me,Paramount,78,73,,25.33,7.4,12,2012
Kid With a Bike,IFC,,,,1.47,,,2012
Killer Joe,LD Entertainment,,,Drama,1.99,,,2012
Killing Them Softly,Weinstein,75,44,,15.03,22.9,15,2012
Last Ounce of Courage,Rocky Mountain,,,Drama,3.33,,,2012
Lawless,Weinstein,67,75,,37.4,16.28,26,2012
Les Miserables (2012),Universal,70,79,,148.81,293,61,2012
Life of Pi,Fox,87,85,,124.99,484.03,120,2012
Lincoln,Buena Vista,90,81,,182.21,93.09,65,2012
Looper,TriStar,93,82,,66.49,110.02,30,2012
Madagascar 3: Europe's Most Wanted,DreamWorks,79,73,Animation,216.39,530.53,145,2012
Magic Mike,Warner Bros,80,61,,113.72,53.5,7,2012
Man on a Ledge,Summit,32,52,Action,18.62,27.6,42,2012
Marley,Magnolia,,,,1.41,,,2012
Marvel's The Avengers,Buena Vista,92,91,,623.36,895.24,220,2012
MIB 3,Sony,70,71,,179.02,445.01,225,2012
Mirror Mirror,Relativity Media,49,45,,64.94,101.24,85,2012
Monsieur Lazhar (U.S.-only),Music Box Films,,,Drama,2.01,,,2012
Moonrise Kingdom,Focus,94,86,,45.51,22.75,16,2012
Nitro Circus the Movie 3D,ARC Entertainment,,,Documentary,3.38,,,2012
October Baby (2012),Samuel Goldwyn,,,Drama,5.16,,,2012
Paranormal Activity 4,Paramount,24,36,Horror,53.92,88.92,5,2012
ParaNorman,Focus,87,72,,56,51.14,60,2012
Parental Guidance,Fox,18,61,,77.27,42.5,25,2012
Pitch Perfect,Universal,81,83,,65,48.04,17,2012
Premium Rush,Sony,76,60,,20.28,10.81,35,2012
Prometheus,Fox,74,69,,126.48,276.88,130,2012
Promised Land (2012),Focus,,,,7.6,,,2012
Raiders of the Lost Ark (IMAX),Paramount,,,,3.13,,,2012
Red Dawn (2012),FilmDistrict,12,52,Action,44.81,,65,2012
Red Tails,Fox,40,58,,49.88,0.49,58,2012
Resident Evil: Retribution,Screen Gems,31,51,Action,42.35,197.81,65,2012
Rise of the Guardians,DreamWorks,74,81,,103.41,203.53,145,2012
Robot & Frank,Samuel Goldwyn,,,Comedy,3.33,,,2012
Rock of Ages,Warner Bros,41,55,Musical,38.52,20.9,75,2012
Ruby Sparks,Fox Searchlight,,,Comedy,2.54,,,2012
Rust and Bone,Sony,,,,2.06,,,2012
Safe (2012),Lionsgate,57,60,,17.14,23.2,30,2012
Safe House,Universal,53,64,,126.37,81.7,85,2012
Safety Not Guaranteed,FilmDistrict,,,,4.01,,,2012
Salmon Fishing in the Yemen,CBS,67,64,,9.05,25.52,15,2012
Samsara,Oscillloscope,,,Documentary,2.67,,,2012
Savages (2012),Universal,51,55,,47.38,35.58,45,2012
Searching for Sugar Man,Sony,,,,3.7,,,2012
Seeking a Friend for the End of the World,Focus,,,,7.08,,,2012
Seven Psychopaths,CBS,83,71,,15.02,4.4,15,2012
Silver Linings Playbook,Weinstein,92,86,,132.09,104.32,21,2012
Singin' In the Rain (2012 re-release),Warner Bros,,,,1.61,,,2012
Sinister,Summit,63,61,Horror,48.09,29.63,3,2012
Skyfall,Sony,92,86,,304.36,804.2,200,2012
Sleepwalk with Me,IFC,,,Comedy,2.27,,,2012
Snow White and the Huntsman,Universal,48,52,,155.33,241.26,170,2012
Sparkle (2012),TriStar,57,65,,24.4,0.24,14,2012
Step Up Revolution,Summit,42,69,Romance,35.07,105.4,33,2012
Taken 2,Fox,21,54,,139.85,236.29,45,2012
Talaash,Reliance,,,Drama,2.87,,,2012
Ted,Universal,68,74,,218.82,330.55,50,2012
That's My Boy,Sony,20,53,,36.93,20.79,70,2012
The Amazing Spider-Man,Sony,73,77,,262.03,490.19,230,2012
The Apparition,Warner Bros,,,,4.94,,,2012
The Best Exotic Marigold Hotel,Fox Searchlight,78,79,,46.41,90.42,10,2012
The Bourne Legacy,Universal,56,58,,113.2,162.94,125,2012
The Cabin in the Woods,Lionsgate,92,73,Horror,42.07,24.41,30,2012
The Campaign,Warner Bros,65,51,,86.91,18,,2012
The Cold Light of Day,Summit,,,,3.76,,,2012
The Collection,LD Entertainment,,,,6.84,,,2012
The Dark Knight Rises,Warner Bros,88,90,,448.14,636.3,250,2012
The Devil Inside,Paramount,6,22,,53.26,48.5,1,2012
The Dictator,Paramount,57,45,,59.65,119.73,65,2012
The Expendables 2,Lionsgate,65,68,,85.03,220.4,100,2012
The Five-Year Engagement,Universal,63,52,,28.84,25.07,30,2012
The Grey,Open Road,79,61,,51.58,25.7,25,2012
The Guilt Trip,Paramount,38,40,,37.13,4.73,40,2012
The Hobbit: An Unexpected Journey,Warner Bros,65,83,,303,714,200,2012
The Hunger Games,Lionsgate,84,81,,408.01,283.24,78,2012
The Impossible,Summit,81,85,,19.02,161.25,30,2012
The Lucky One,Warner Bros,20,68,,60.46,38.9,25,2012
The Master,Weinstein,85,59,,16.38,11.88,32,2012
The Perks of Being a Wallflower,Summit,85,89,,17.74,15.64,13,2012
The Pirates! Band of Misfits,Sony,86,60,,31.05,92,55,2012
The Possession,Lionsgate,40,49,,49.13,36.32,14,2012
The Queen of Versailles,Magnolia,,,,2.4,,,2012
The Raid: Redemption,Sony,,,,4.11,,,2012
The Sessions,Fox Searchlight,,,,6,,,2012
The Three Stooges,Fox,52,49,,44.34,10.48,30,2012
The Twilight Saga: Breaking Dawn Part 2,Summit,48,71,,292.32,537.36,120,2012
The Vow,Screen Gems,29,63,,125.01,71.1,30,2012
The Watch,Fox,17,40,,35.35,32.91,68,2012
The Woman in Black,CBS,66,55,,54.33,73.4,17,2012
This Is 40,Universal,51,51,,67.54,20.51,35,2012
Total Recall (2012),Sony,30,47,,58.88,139.59,125,2012
Underworld Awakening,Screen Gems,26,62,,62.32,97.79,70,2012
What to Expect When You're Expecting,Lionsgate,22,48,,41.15,43.23,40,2012
Won't Back Down,Fox,,,,5.31,,,2012
Wrath of the Titans,Warner Bros,25,49,,83.67,221.6,150,2012
Wreck-It Ralph,Buena Vista,86,87,,189.42,281.8,165,2012
Your Sister's Sister,IFC,,,,1.64,,,2012
Zero Dark Thirty,Sony,93,80,,95.72,37.1,40,2012
About Time,Universal,69,83,,15.32,71.78,,2013
The Fifth Estate,Buena Vista,37,40,,3.26,5.3,28,2013
Parker,FilmDistrict,41,49,,17.62,28.6,35,2013
The To-Do List,CBS,52,48,,3.49,0.07,1.5,2013
Grown Ups 2,Sony,7,55,,133.67,113.32,80,2013
After Earth,Sony,11,38,,60.52,183.32,130,2013
Captain Phillips,Sony,93,92,,106.24,110.24,55,2013
Escape Plan,Summit,49,59,,25.13,108.24,50,2013
Prisoners,Warner Bros,82,88,,61,61.12,46,2013
Stoker,Fox Searchlight,68,61,,1.71,10.36,12,2013
Walking with Dinosaurs,Fox,25,41,,34.69,78.5,80,2013
Love is All You Need,Sony,74,60,,1.63,8.39,5.5,2013
The Kings of Summer,CBS,76,77,,1.32,,2,2013
